"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"Wheeling","IL","Chicago-Naperville-Elgin","Cook County",1308,1846,0.00654307524536532,0.0238491403216861,0.0261256253474152,4812
2019-01-31,"Scarsdale","NY","New York-Newark-Jersey City","Westchester County",1309,7858,-0.00253871541000254,-0.00907944514501892,0.00165710643722116,5426
2019-01-31,"Amherst","MA","Springfield","Hampshire County",1310,2443,0.00246204349610176,0.0162229617304493,0.0200417536534447,4291
2019-01-31,"Florence","KY","Cincinnati","Boone County",1311,1335,-0.00669642857142857,-0.0118430792005922,0.0261337432744043,11547
2019-01-31,"Clinton","MD","Washington-Arlington-Alexandria","Prince Georges County",1312,2097,0.012554321583776,0.0443227091633466,0.0432835820895522,14273
2019-01-31,"Casselberry","FL","Orlando-Kissimmee-Sanford","Seminole County",1313,1546,0.00782268578878748,0.0286094477711244,0.0773519163763066,10451
2019-01-31,"Kerrville","TX","Kerrville","Kerr County",1314,1470,-0.0040650406504065,-0.0114324142568931,-0.0054127198917456,11016
2019-01-31,"Germantown","TN","Memphis","Shelby County",1315,2189,0.0153061224489796,0.048873981792046,0.0205128205128205,11357
2019-01-31,"Bartlett","IL","Chicago-Naperville-Elgin","DuPage County",1316,2034,0.00444444444444444,0.0205720020070246,0.017,11650
2019-01-31,"Marlborough","MA","Boston-Cambridge-Newton","Middlesex County",1317,2367,0.00381679389312977,0.0115384615384615,0.0300261096605744,7478
2019-01-31,"Montclair","NJ","New York-Newark-Jersey City","Essex County",1318,2460,0.00613496932515337,0.0450297366185217,-0.0523882896764253,10309
2019-01-31,"Maplewood","MN","Minneapolis-St. Paul-Bloomington","Ramsey County",1319,1686,0.00596658711217184,0.0249240121580547,0.0664136622390892,9157
2019-01-31,"Hillsborough","NJ","New York-Newark-Jersey City","Somerset County",1320,2429,-0.000822706705059646,-0.00532350532350532,0.00330441966129698,12655
2019-01-31,"Hilliard","OH","Columbus","Franklin County",1321,1891,0.0123126338329764,0.0430226144511859,-0.00682773109243697,8769
2019-01-31,"Burleson","TX","Dallas-Fort Worth-Arlington","Johnson County",1322,1542,0.00784313725490196,0.028685790527018,0.028,13106
2019-01-31,"Jacksonville","AR","Little Rock-North Little Rock-Conway","Pulaski County",1323,844,0.00356718192627824,0.0180940892641737,-0.00354191263282172,12122
2019-01-31,"Bristol","TN","Kingsport-Bristol-Bristol","Sullivan County",1324,926,0.0120218579234973,0.0404494382022472,0.0607101947308133,12481
2019-01-31,"Riverton","UT","Salt Lake City","Salt Lake County",1325,1790,-0.00222965440356745,-0.0170236133992312,0.00674915635545557,10797
2019-01-31,"Bowling Green","OH","Toledo","Wood County",1326,1382,0.0390977443609023,0.14026402640264,0.0313432835820895,8669
2019-01-31,"Elmont","NY","New York-Newark-Jersey City","Nassau County",1327,2887,0.00592334494773519,0.0179830747531735,0.0126271483689933,8399
2019-01-31,"Wheeling","WV","Wheeling","Ohio County",1328,927,-0.00215285252960172,-0.00855614973262032,0.0220507166482911,12968
2019-01-31,"Woodinville","WA","Seattle-Tacoma-Bellevue","King County",1329,2813,0.00142399430402278,0.0122346167686218,-0.0102040816326531,11339
2019-01-31,"Milton","GA","Atlanta-Sandy Springs-Roswell","Fulton County",1330,2926,0.00792283844299001,0.00515286843009275,-0.00543847722637661,10471
2019-01-31,"Kinston","NC","Kinston","Lenoir County",1331,903,0.015748031496063,0.0549065420560748,0.0673758865248227,8727
2019-01-31,"Kendall West","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",1332,2264,-0.0152240104393214,-0.0410842863193562,0.0235081374321881,4930
2019-01-31,"Belton","TX","Killeen-Temple","Bell County",1333,1234,0.00816993464052288,0.0266222961730449,0.0317725752508361,9802
2019-01-31,"Elizabeth City","NC","Elizabeth City","Pasquotank County",1334,1011,0.00297619047619048,0.011,-0.0362249761677788,14054
2019-01-31,"Woburn","MA","Boston-Cambridge-Newton","Middlesex County",1335,2517,0.0132850241545894,0.0457000415454923,0.0153287615974183,8290
2019-01-31,"Montgomery","TX","Houston-The Woodlands-Sugar Land","Montgomery County",1336,1805,-0.0066042927903137,-0.0179542981501632,-0.0120415982484948,18526
2019-01-31,"Lake Wales","FL","Lakeland-Winter Haven","Polk County",1337,1190,0.0136286201022147,0.0411198600174978,0.0625,10210
2019-01-31,"Great Neck","NY","New York-Newark-Jersey City","Nassau County",1338,5318,-0.000939319932368965,-0.00131455399061033,-0.0197235023041475,9337
2019-01-31,"Brighton","CO","Denver-Aurora-Lakewood","Adams County",1339,1969,0.00510464522715671,0.0144255538382277,0.0363157894736842,9096
2019-01-31,"Lebanon","OH","Cincinnati","Warren County",1340,1637,0.00244947948560931,0.0111179740580605,0.0193026151930262,9936
2019-01-31,"Lutherville Timonium","MD","Baltimore-Columbia-Towson","Baltimore County",1341,2157,-0.0132662397072278,-0.0366234926306387,-0.0288158487167942,12711
