RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
13072,Oakland,California,36,672800,651100,634600,624100,620200,592900,582300,581e3,576300,581500,553900,557300,538800,550800,556900,573900,569300,558900,540500,531800,513700,517300,518400,536800,523300,522100,508200,526900,532400,540100,544800,532e3,515800,497200,507200,518500,519100,501e3,484e3,477400,476900,478900,472e3,462400,461200,463700,479e3,471400,457600,454e3,461100,482700,478900,482500,482800,489100,495700,503200,522900,545200,548200,554e3,556300,580400,591500,601e3,611600,625300,632e3,635600,638500,641700,637100,646300,655300,672200,669600,682200,684300,701600,704600,717700,720100,735200,744300,745400,750900,748200,737200,729500,732300,746e3,750700,763500,767600,764300,756200,767e3,774700,787e3,789800,786100,792700,789900,802700,790300,818900,823400,842800,821600,826500,825100,836900,845200,849500,848400,850300,858100,885300,892e3,893400,885600,915600,929900,919900,890200,889700,918300,932500,944900,
20859,Tulsa,Oklahoma,37,110200,112100,110400,111200,111600,110100,108400,108700,109900,110900,107300,105300,108600,112800,116400,113800,112800,109100,108100,107700,109400,108600,107200,106800,108300,111100,112e3,111500,109700,109e3,11e4,108600,111200,110800,114e3,112700,112e3,111200,109500,108e3,107900,106500,108700,110200,111e3,112e3,109300,108e3,107800,107700,109200,106200,106600,108200,108800,110900,108800,111700,111e3,112900,109700,109900,109300,110100,110100,110200,110100,11e4,112400,113600,111100,107500,107100,111400,114400,116300,115300,116400,115100,113500,111400,110600,112500,112400,114800,114700,115100,113300,113900,114100,115700,116300,117900,119700,118e3,117300,117300,119500,119600,118200,119900,120200,122e3,122800,124900,126600,127800,130300,130200,130200,130600,132900,133700,134700,134400,136200,134200,132900,131200,132500,135200,136300,138100,134700,133900,132100,137e3,138500,14e4,136700,
5983,Minneapolis,Minnesota,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224500,226200,226900,227400,230700,232700,234400,233900,234900,236600,238500,239400,244300,246500,243100,240500,241100,247900,248100,249500,251200,252500,252500,253300,254800,257400,257700,263e3,262900,266700,265200,267300,264e3,265800,265800,269800,271100,
24115,Cleveland,Ohio,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122700,120600,118100,118600,118400,121700,120700,121800,123300,125e3,123500,119500,117e3,117600,119400,120800,123e3,124700,123900,124200,123200,125900,126300,129e3,127600,126800,125200,125500,129500,129900,132300,135100,137500,137900,136200,134e3,132700,127400,126800,126400,131200,132500,134900,133e3,
19594,New Orleans,Louisiana,40,151300,149600,148900,148e3,148300,152300,152700,153400,151500,156500,157600,156200,151700,147200,146200,146100,149700,151400,153e3,154400,157500,156200,154900,152400,152100,152100,150200,149900,150600,151300,152800,153400,151500,151400,149800,151700,149900,147100,144700,143500,142100,143300,140900,140100,140400,140300,142800,139600,137900,136600,138100,141200,142300,141600,143e3,145500,144600,144200,144100,147400,146300,143500,143800,145500,147200,147900,148600,150100,151500,151900,155500,154100,154100,151200,150500,151100,151900,154e3,153200,151600,153200,157e3,156800,159800,159600,162300,158500,159e3,157200,158300,156800,16e4,158600,159300,156100,157600,159600,160800,164900,164900,165e3,161700,165200,165800,167400,168100,172900,173300,174e3,175900,178900,179100,181700,182e3,183700,181800,182e3,179e3,183e3,183800,185e3,184400,184700,184700,183300,183300,180900,182700,184600,185300,
50763,Arlington,Texas,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160700,164400,167e3,167e3,165900,167400,168800,171900,173e3,174e3,174300,174400,177800,178600,180300,181e3,185300,188500,190600,191700,191900,193300,200800,204300,206300,203100,203e3,206e3,208e3,209900,207e3,211300,213700,219200,215900,214500,218500,224e3,230800,232600,234100,234600,234500,234300,234800,
44055,Baton Rouge,Louisiana,42,154700,155200,155700,154e3,155100,154500,155900,156800,157700,152900,151600,151800,156300,156100,155500,155800,155400,153500,153800,153700,155200,152900,152400,151700,154200,157100,156800,156900,155400,153500,153e3,151600,154500,153e3,149200,151900,153300,159400,153700,153900,149700,152e3,150300,150900,147600,143800,145500,148100,151100,150200,149300,149600,151200,151500,150700,148900,147200,145800,142800,145700,147200,149700,149100,151300,149e3,148500,145e3,147900,144e3,146500,146900,150200,151900,15e4,151200,148200,148800,149100,149800,148600,145200,145900,149200,152700,152600,153200,154200,156900,156500,155e3,153900,152500,153400,151700,151700,152400,153800,154600,153800,153800,157300,159300,162e3,164400,167700,167500,164500,160700,160300,160100,160500,159800,159400,160400,161700,162900,162800,163100,164300,166400,167300,168600,167200,168100,167e3,169700,169800,170700,169700,169100,
7929,Wichita,Kansas,43,116300,116600,117700,118100,116900,116900,116500,117400,115700,118400,118800,119800,115e3,114500,114600,116500,115800,116800,115800,114700,112600,112e3,114300,114700,116400,115600,116700,116300,116700,118e3,117600,117700,115900,116800,117100,116300,115500,112e3,112900,112300,114200,115500,116600,116800,114800,113400,111300,107e3,105900,107800,111100,110900,110900,113e3,113400,114800,111800,114100,112500,112100,109200,107600,108800,109800,112900,114400,115900,115300,114700,113700,112700,113500,115100,116100,114500,114100,111600,111600,111400,112600,114e3,113500,113e3,113200,114800,117500,119200,120100,119400,117600,117400,117700,118100,119200,120600,122700,121800,120300,120100,119e3,120900,121300,123200,124100,123900,126900,127e3,127100,125e3,125900,126800,127900,129e3,130800,129400,129300,130500,132200,133e3,131e3,131200,131400,132400,133100,132300,134e3,134500,136e3,135500,136900,
25428,Knoxville,Tennessee,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131e3,131300,131700,133600,135300,135100,134e3,135200,135800,135800,134900,133700,134500,134900,137e3,136400,136400,136900,137800,135800,133900,133200,136500,138100,141400,141700,142200,141600,142200,142e3,142200,142100,143900,144e3,143400,144200,143200,145200,144500,145300,145900,147500,147500,147e3,146700,148200,149900,150800,151800,151900,152100,151600,151900,152500,153800,151700,153300,154800,158900,161200,163900,165300,165500,165800,165700,165300,163800,164200,166200,168e3,169600,
41176,Tampa,Florida,45,198900,197900,192600,187400,181800,176800,175600,171400,168700,162400,164500,164300,160600,155900,150600,151200,147100,145900,139100,137e3,134e3,135400,136700,137400,136300,135200,131400,132600,128600,129400,127100,131300,131e3,129100,122300,120400,119400,124500,125e3,124e3,117200,113400,112e3,112100,113200,113400,111300,111500,111200,115300,113800,119400,121700,124400,120300,117500,118400,12e4,119500,117300,117900,122200,125200,125500,125400,126400,127700,131300,132900,137900,136800,135900,134500,133700,135700,135700,137700,138900,140900,141100,141400,142700,143800,146300,144600,146600,144100,146700,147700,150700,152700,155600,157300,156700,156900,159700,162200,163200,163200,165700,167200,167600,167800,169500,172300,174e3,176400,183500,185700,186700,183e3,184600,185400,187600,188600,189600,19e4,191800,195700,202800,205400,209900,208600,209700,208400,211300,210700,216100,217600,221700,
16846,Aurora,Colorado,46,228500,227e3,221500,217200,214700,217500,219e3,220100,217900,215900,216e3,217600,220200,221100,220300,217500,215600,213300,212800,211800,210800,212400,215800,218500,219600,217200,215500,213400,215500,217500,220600,218900,219400,215100,213500,211600,211900,212200,21e4,208800,204700,203300,203700,205200,205600,205800,207800,213e3,212600,212400,207200,208100,210500,216100,218200,219200,218400,222100,223400,227900,228e3,231600,231600,235900,236700,237e3,235500,237200,239e3,242700,242900,244500,245100,247500,248500,248500,250400,252900,257700,259400,262e3,264900,267900,271500,273200,276600,279600,282e3,284700,288400,292200,296500,303900,306400,309900,314400,319300,319e3,316600,318900,325e3,329400,332400,334100,338200,339900,345300,344200,348100,348400,353300,356400,358400,359700,361600,364800,367300,368600,370500,377500,379500,380800,378300,382800,386e3,388100,389500,388500,388900,388600,
