"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,56580,"Street","MD","Baltimore-Columbia-Towson","Harford County",7124,351100,0.00256996002284409,-0.000284738041002278,0.0138608143228415,0.0376224197097854,0.00452531932950828,"2006-09","2006-Q3",387600,-0.0941692466460268,"2005-09"
2019-01-31,16664,"Eclectic","AL","Montgomery","Elmore County",7125,223000,0.00314889788573999,0.0210622710622711,0.119477911646586,-0.0100063631369749,-0.0134743148501193,"2006-10","2006-Q4",333800,-0.33193529059317,"2005-05"
2019-01-31,24780,"Fox Lake","IL","Chicago-Naperville-Elgin","Lake County",7126,132900,0.0060560181680545,0.00911161731207289,0.0709105560032232,0.0947971404811929,-0.00915312749347463,"2006-09","2006-Q3",172700,-0.230457440648523,"2002-07"
2019-01-31,395900,"Mack South","OH","Cincinnati","Hamilton County",7127,222500,0.0122838944494995,0.0320037105751391,0.0465663217309501,0.049200269147087,0.0151170533058578,"2019-01","2019-Q1",222500,0,"2019-01"
2019-01-31,16089,"Yale","MI","Detroit-Warren-Dearborn","Saint Clair County",7128,127800,0.0183266932270916,0.0273311897106109,0.129973474801061,0.143030741452998,,"2019-01","2019-Q1",127800,0,"2019-01"
2019-01-31,23470,"Alton","NH","Laconia","Belknap County",7129,318000,0.00378787878787879,0.00888324873096447,0.115007012622721,0.0699335697335319,0.0262131190542452,"2019-01","2019-Q1",318000,0,"2019-01"
2019-01-31,10340,"Bellevue","KY","Cincinnati","Campbell County",7130,137300,0.00733675715333823,0.0300075018754689,0.139419087136929,0.0920528445818594,0.0375157379512847,"2019-01","2019-Q1",137300,0,"2019-01"
2019-01-31,397276,"Carroll","PA","Harrisburg-Carlisle","Perry County",7131,196500,0,-0.00707427993936331,0.0491190603310198,0.0366945006276642,0.0165216923945217,"2018-10","2018-Q4",197900,-0.00707427993936331,"2018-09"
2019-01-31,5216,"Horse Shoe","NC","Asheville","Henderson County",7132,289700,0.00870473537604457,0.021509167842031,0.109961685823755,0.0584212872787091,0.0214076089229625,"2019-01","2019-Q1",289700,0,"2019-01"
2019-01-31,8095,"Andrews","NC",,"Cherokee County",7133,118000,0.00254885301614274,0.016365202411714,0.0460992907801418,0.0277638228466741,0.00223051093579718,"2007-05","2007-Q2",139800,-0.155937052932761,"2006-05"
2019-01-31,23546,"Auburn","NH","Boston-Cambridge-Newton","Rockingham County",7134,355000,0.00282485875706215,0.00339174674957603,0.0657460222155509,0.0471928190155728,0.0255655150129512,"2019-01","2019-Q1",355000,0,"2019-01"
2019-01-31,397032,"Pomfret","NY","Jamestown-Dunkirk-Fredonia","Chautauqua County",7135,113300,0.00980392156862745,0.0244122965641953,0.0481036077705828,0.0281834262135985,0.0173447623276026,"2019-01","2019-Q1",113300,0,"2019-01"
2019-01-31,9519,"West Liberty","OH","Bellefontaine","Logan County",7136,159000,0.00952380952380952,0.03515625,0.0801630434782609,0.0472914400600364,0.0265061854380251,"2019-01","2019-Q1",159000,0,"2019-01"
2019-01-31,40213,"Oxford","PA","Philadelphia-Camden-Wilmington","Chester County",7137,193900,-0.00767656090071648,-0.0270948319116909,-0.0182278481012658,0.0463420137792905,0.00384490011975491,"2018-10","2018-Q4",199300,-0.0270948319116909,"2018-05"
