RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
9602,Leander,Texas,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142200,143100,142200,141700,143600,144100,145400,144900,150600,151700,153800,151500,154900,16e4,170100,171600,170400,165300,167200,167900,170300,167700,168700,167e3,169e3,170600,173100,177400,177e3,175600,174300,178400,179200,183e3,182500,185600,184600,183700,185900,184e3,189900,191800,196400,194300,193700,194800,199600,202900,199400,198600,198600,205600,205400,212700,219200,220300,210900,204e3,207e3,207700,213500,,,,
51873,Elizabethton,Tennessee,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47900,50400,48400,52100,52900,52100,54600,52400,59600,53900,53900,53300,60400,57e3,56300,55300,58100,57e3,57300,62600,57700,56400,55e3,63200,62400,60600,66e3,65100,67300,60800,71400,7e4,66400,59900,6e4,67800,64600,66400,71200,70900,68900,
396858,Paine Field-Lake Stickney,Washington,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142100,142500,141600,136100,138800,141200,143700,142600,137e3,136e3,132200,143e3,15e4,155100,159300,167300,170700,165400,165500,171100,183800,189e3,194700,186800,184300,179400,184e3,170600,188500,193100,207500,191900,189200,196e3,213500,214500,217400,219200,223800,229e3,215700,222100,224200,234300,235500,225900,225e3,235700,248e3,253100,238900,247800,252500,270500,280500,285100,275400,268100,276800,,,,
396832,Greater Carrollwood,Florida,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,57e3,6e4,57300,55600,54300,53900,56800,54600,56300,54400,55100,56500,57100,61900,59400,62600,60100,61800,60700,61100,60400,60500,59700,60200,67900,69700,75900,68500,68500,64700,66800,67600,67600,68900,69900,73100,71600,78200,75400,72200,66600,66900,71400,72100,70300,72900,75100,79800,81400,81400,84900,84900,88400,88100,93800,96600,98800,95700,87800,88400,91400,94500,102e3,104200,110100,103400,104e3,103e3,105700,100600,105800,108800,117900,113200,119100,117700,123800,119100,120400,114900,112200,110400,115300,121200,134100,
24831,Galt,California,812,228700,218800,205900,199300,188800,182900,177e3,172200,167100,165800,152600,150600,151700,159600,156100,150200,144e3,142200,142e3,147100,148300,150400,145700,149300,156600,159100,161100,152700,156100,149200,142700,137800,132100,139e3,134500,137e3,129400,128600,123400,124600,124700,124800,124200,119300,123700,120200,128700,126700,131300,129e3,127800,124100,122100,125300,128e3,133900,131900,127200,130400,138800,151500,152900,157400,164300,164500,164700,170300,176200,180100,18e4,180100,197900,201200,205900,196100,197400,204600,196900,195400,199200,213500,218200,218200,219600,224600,226600,227400,231900,229e3,231500,226900,229600,230600,233900,232200,238300,244900,255100,252200,246700,244900,245800,250300,254200,256300,259700,264900,265400,258800,251900,238600,242400,253300,279900,290700,281600,278500,276100,286e3,290800,297100,302500,306700,308200,,,,,,,
16684,Adelanto,California,813,,,,,,,,,,,,,,,,,,,77500,80600,85700,87900,86500,83700,84400,84600,84900,84500,85900,85600,86600,86700,88500,87100,87900,86900,86500,80700,77e3,77600,78100,79400,77500,78400,79300,79200,79e3,81e3,82500,80500,77100,77e3,83900,88500,93500,94300,94900,92800,95700,101900,102e3,104700,106300,117700,121400,122600,121100,123100,129700,132500,136900,137600,142600,140800,139900,136900,133700,136e3,139300,145400,151600,152300,153100,145700,145600,147600,148300,149300,148800,154100,157900,157700,157200,156400,160600,162500,164e3,163100,165e3,167200,171900,173600,173100,174300,175e3,178400,176900,176700,177700,184500,190600,194e3,191400,188500,191400,195100,195e3,197700,204900,207900,213400,213900,214e3,212300,211700,216300,217200,213200,225700,227100,
31540,Farmington,Minnesota,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112e3,112700,115200,117200,128300,130800,127100,122400,123500,127700,131900,133700,132400,133100,135900,138300,135300,132e3,133e3,134500,136300,136300,135900,139600,142e3,144600,143800,142900,144200,143400,146500,145500,149e3,149600,150500,151900,149900,151300,147200,148800,153300,158400,158500,156200,155e3,154700,159300,159500,163300,161300,165300,166400,166e3,169e3,167200,174100,173300,179400,175800,178800,177900,178300,177100,176e3,181900,186600,
41184,Tarpon Springs,Florida,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65100,61900,56800,55300,58300,63e3,64e3,64900,66800,67900,67400,71e3,66400,68e3,65300,69800,71700,71800,73800,70600,69700,67e3,66500,68400,71100,72100,70200,71300,70300,72600,77200,82e3,82200,79800,78500,78e3,77800,78400,80900,81500,81400,80300,81300,83100,83700,93800,100200,101600,94300,93800,98800,100700,100600,102500,100900,101100,107600,114400,120500,118500,117600,114200,113800,115e3,114700,121e3,121300,127300,128600,132e3,136e3,131200,,
53924,Pleasant Grove,Utah,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144400,122700,132200,133800,149400,143200,143800,145500,149200,148e3,154900,152400,154900,151300,152700,152400,151600,155500,159100,162300,163100,161300,160800,162200,166700,163e3,160700,159500,159300,162e3,159800,159300,16e4,161700,169300,167900,167900,166500,166600,167e3,168800,171200,178500,178200,180200,179400,178500,179500,180100,183e3,188700,193200,196500,195900,191500,192400,189700,2e5,199700,209400,207e3,209700,210400,209500,213500,213300,216500,210700,216400,225e3,246200,251600,
11179,Durango,Colorado,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198400,206e3,205400,194e3,172500,159700,162200,178900,192400,181e3,169300,172500,179900,169200,160800,151200,178e3,178800,189700,191400,182100,166400,164500,171300,172900,152500,149900,151e3,154300,147900,150700,151200,159500,159700,164200,163400,176400,181800,183e3,183300,186600,190600,185700,193200,198800,202500,186700,174200,163200,165600,169700,170700,168e3,168800,178100,185800,186700,182900,185100,194200,202500,211800,213e3,212400,205800,210400,207e3,200300,195200,197100,212500,219800,212100,200300,215500,212200,219800,200500,2e5,197e3,187800,183200,180100,183100,188100,179900,2e5,216100,213400,201500,213300,244300,234300,220500,215e3,212500,
